competitor,total_pages,Bookkeeping/Software,Compliance/HMRC,Corporation Tax,Director Pay/Dividends,Exit/CGT,IR35,Incorporation/Structure,MTD,Other,Payroll/PAYE,Pricing/Services,Self Assessment,VAT
crunch.co.uk,60,3,0,0,0,0,0,0,0,56,0,0,0,1
mazumamoney.co.uk,58,2,0,1,0,0,1,1,1,48,1,2,0,1
taxassist.co.uk,59,1,0,0,0,0,0,0,0,57,0,0,0,1
boox.co.uk,34,1,0,0,0,0,0,3,0,25,0,0,4,1
freeagent.com,60,56,0,0,0,0,0,0,0,0,2,0,0,2
hwca.com,60,0,0,0,0,0,0,0,0,60,0,0,0,0
gosimpletax.com,55,0,0,0,0,0,0,3,5,29,0,1,16,1
fastaccountant.co.uk,60,4,4,1,0,1,0,1,0,44,3,0,0,2
gorillaaccounting.com,59,3,0,0,1,1,0,5,2,43,1,1,0,2
theaccountancy.co.uk,60,2,0,0,1,0,0,1,1,47,2,1,3,2
a-wise.co.uk,60,2,0,0,0,0,0,0,1,53,0,3,0,1
1stformations.co.uk,58,0,1,0,0,0,0,5,0,52,0,0,0,0
